Function name;Epoch;Mean loss;Std loss;Accuracy;Training time
ContrastiveLoss (1);1;0.90124743;0.22740577;98.65 %;34.06 s
ContrastiveLoss (5);5;0.83188672;0.36343435;98.94 %;146.22 s
ContrastiveLoss (10);10;0.78427466;0.42391821;99.02 %;274.74 s
ContrastiveLoss (20);20;0.75085242;0.44054226;99.21 %;535.68 s
ContrastiveLoss (50);50;0.75366481;0.43635004;99.13 %;1392.18 s
TripletMarginLoss (1);1;0.01453661;0.01180982;99.15 %;23.50 s
TripletMarginLoss (5);5;0.01434232;0.01166727;99.17 %;117.22 s
TripletMarginLoss (10);10;0.01556164;0.01203945;99.22 %;242.56 s
TripletMarginLoss (20);20;0.01538689;0.01217207;99.23 %;495.08 s
TripletMarginLoss (50);50;0.01474633;0.01195895;99.17 %;1285.83 s
NPairsLoss (1);1;0.63373655;0.50695630;99.13 %;23.86 s
NPairsLoss (5);5;0.62965237;0.51432768;99.07 %;118.43 s
NPairsLoss (10);10;0.61147004;0.49765230;99.14 %;246.02 s
NPairsLoss (20);20;0.60476664;0.49547184;99.10 %;499.33 s
NPairsLoss (50);50;0.61656374;0.49424252;99.17 %;1305.50 s
ProxyAnchorLoss (1);1;2.20502999;1.01661811;99.09 %;26.47 s
ProxyAnchorLoss (5);5;1.48485537;0.93205067;99.22 %;132.67 s
ProxyAnchorLoss (10);10;1.39287669;0.96378189;99.30 %;275.55 s
ProxyAnchorLoss (20);20;1.39952905;0.98532066;99.19 %;559.03 s
ProxyAnchorLoss (50);50;1.45133368;1.04996994;99.09 %;1470.08 s
NormalizedSoftmaxLoss (1);1;0.08556342;0.05024705;98.98 %;24.74 s
NormalizedSoftmaxLoss (5);5;0.01970035;0.02484212;99.15 %;122.20 s
NormalizedSoftmaxLoss (10);10;0.01765024;0.03029606;99.27 %;253.09 s
NormalizedSoftmaxLoss (20);20;0.02179649;0.04084601;99.18 %;515.63 s
NormalizedSoftmaxLoss (50);50;0.02700755;0.04949421;99.10 %;1365.94 s
NCALoss (1);1;0.40324021;0.51956199;99.20 %;25.69 s
NCALoss (5);5;0.40910178;0.52297559;99.07 %;127.84 s
NCALoss (10);10;0.38621970;0.50134048;99.10 %;265.52 s
NCALoss (20);20;0.37745077;0.48979809;99.04 %;538.96 s
NCALoss (50);50;0.34193438;0.46154795;98.91 %;1427.40 s
MarginLoss (1);1;0.33219052;0.18961376;98.86 %;25.51 s
MarginLoss (5);5;0.23924522;0.15630381;99.04 %;130.22 s
MarginLoss (10);10;0.20451448;0.13629465;99.17 %;264.43 s
MarginLoss (20);20;0.19963217;0.13134637;99.25 %;538.38 s
MarginLoss (50);50;0.18064358;0.11351090;99.27 %;1406.73 s
LargeMarginSoftmaxLoss (1);1;2.63159286;1.19927318;98.46 %;27.63 s
LargeMarginSoftmaxLoss (5);5;1.05423720;0.52158884;98.93 %;145.23 s
LargeMarginSoftmaxLoss (10);10;0.74562975;0.32989367;99.28 %;318.87 s
LargeMarginSoftmaxLoss (20);20;0.62702321;0.32607467;99.22 %;605.83 s
LargeMarginSoftmaxLoss (50);50;0.59747941;0.32272481;99.14 %;1605.06 s
AngularLoss (1);1;1.91130288;1.16404539;99.15 %;24.89 s
AngularLoss (5);5;1.87382954;1.18422046;99.15 %;125.18 s
AngularLoss (10);10;1.90664123;1.16206849;99.11 %;253.66 s
AngularLoss (20);20;1.90024982;1.17354734;99.10 %;522.35 s
AngularLoss (50);50;1.92892366;1.13181588;99.11 %;1384.48 s
CircleLoss (1);1;13.53126541;12.49995719;99.09 %;24.33 s
CircleLoss (5);5;13.03216186;11.93258801;98.98 %;132.34 s
CircleLoss (10);10;12.50050869;10.66049914;99.23 %;266.12 s
CircleLoss (20);20;12.55702974;10.63996085;99.05 %;535.23 s
CircleLoss (50);50;12.31170876;10.96112525;99.10 %;1426.24 s
FastAPLoss (1);1;0.00961428;0.00973522;99.07 %;39.56 s
FastAPLoss (5);5;0.00956772;0.00971707;99.14 %;197.32 s
FastAPLoss (10);10;0.00911079;0.00912784;99.09 %;297.55 s
FastAPLoss (20);20;0.00941643;0.00915225;99.13 %;607.94 s
FastAPLoss (50);50;0.00943729;0.00913327;99.10 %;1565.49 s
LiftedStructureLoss (1);1;5.72075831;4.20384845;99.14 %;24.49 s
LiftedStructureLoss (5);5;5.71559762;4.17708897;99.10 %;117.11 s
LiftedStructureLoss (10);10;5.84329073;4.26366073;99.14 %;243.81 s
LiftedStructureLoss (20);20;5.61226501;4.13824458;99.11 %;501.16 s
LiftedStructureLoss (50);50;5.76587579;4.03101201;99.02 %;1315.16 s
ContrastiveLoss (1);1;0.86268511;0.28959713;98.64 %;32.41 s
ContrastiveLoss (5);5;0.81937301;0.37597831;98.97 %;135.26 s
ContrastiveLoss (10);10;0.74305434;0.45373933;99.09 %;271.11 s
ContrastiveLoss (20);20;0.79188495;0.43960916;99.15 %;541.42 s
ContrastiveLoss (50);50;0.77206241;0.44050161;99.09 %;1376.83 s
TripletMarginLossFIXED (1);1;0.01488653;0.01225657;99.11 %;23.55 s
TripletMarginLossFIXED (5);5;0.01603222;0.01263692;99.10 %;116.60 s
TripletMarginLossFIXED (10);10;0.01591080;0.01273921;99.10 %;241.06 s
TripletMarginLossFIXED (20);20;0.01513164;0.01184152;99.09 %;493.81 s
TripletMarginLossFIXED (50);50;0.01514763;0.01159263;99.11 %;1279.90 s

ContrastiveLossSeed (1);1;0.87821570;0.26225322;98.47 %;27.13 s
ContrastiveLossSeed (5);5;0.81291946;0.37146340;99.02 %;127.72 s
ContrastiveLossSeed (10);10;0.79301275;0.40500871;99.16 %;264.23 s
ContrastiveLossSeed (20);20;0.78997643;0.41127150;99.21 %;623.27 s
ContrastiveLossSeed (50);50;0.78395959;0.43347107;99.15 %;1687.54 s
TripletMarginLossSeed (1);1;0.01557746;0.01226033;99.16 %;25.10 s
TripletMarginLossSeed (5);5;0.01593923;0.01182449;99.11 %;119.41 s
TripletMarginLossSeed (10);10;0.01533812;0.01224985;99.18 %;546.37 s
TripletMarginLossSeed (20);20;0.01451295;0.01120405;99.17 %;3405.39 s
TripletMarginLossSeed (50);50;0.01472921;0.01148667;99.19 %;1170.30 s
NPairsLossSeed (1);1;0.66062757;0.53424756;99.18 %;24.04 s
NPairsLossSeed (5);5;0.67609973;0.52425073;99.13 %;114.61 s
NPairsLossSeed (10);10;0.67147079;0.53382749;99.07 %;237.42 s
NPairsLossSeed (20);20;0.65956222;0.52601843;99.04 %;477.89 s
NPairsLossSeed (50);50;0.66672579;0.52291616;99.06 %;1325.58 s
ProxyAnchorLossSeed (1);1;2.32162772;1.23188110;98.76 %;37.02 s
ProxyAnchorLossSeed (5);5;1.60338272;1.01587445;99.07 %;131.85 s
ProxyAnchorLossSeed (10);10;1.46078778;1.01288255;99.11 %;269.89 s
ProxyAnchorLossSeed (20);20;1.41463731;0.99947661;99.23 %;551.80 s
ProxyAnchorLossSeed (50);50;1.39188177;1.02675095;99.17 %;1417.67 s
NormalizedSoftmaxLossSeed (1);1;0.07364780;0.04783513;99.15 %;24.44 s
NormalizedSoftmaxLossSeed (5);5;0.02073262;0.02788634;99.29 %;119.88 s
NormalizedSoftmaxLossSeed (10);10;0.01997095;0.03174878;99.24 %;248.03 s
NormalizedSoftmaxLossSeed (20);20;0.02557395;0.04670528;99.17 %;505.89 s
NormalizedSoftmaxLossSeed (50);50;0.03160577;0.06456131;99.21 %;1329.28 s
